,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,349,118,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
1,Votantes :,85.10 %,118,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
0,Total Inscriptos :,350,119,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
1,Votantes :,78.57 %,119,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
0,Total Inscriptos :,156,120,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
1,Votantes :,83.97 %,120,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
0,Total Inscriptos :,350,121,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,86.29 %,121,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,349,122,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,84.53 %,122,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,349,123,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,85.96 %,123,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,349,124,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,83.95 %,124,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,351,125,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,84.62 %,125,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,126,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,84.57 %,126,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,127,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,88.86 %,127,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,128,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,87.14 %,128,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,129,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,83.43 %,129,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,130,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,82.86 %,130,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,131,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,90.86 %,131,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,132,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,87.71 %,132,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,349,133,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,84.24 %,133,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,134,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,88.29 %,134,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,135,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,86.86 %,135,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,136,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,83.71 %,136,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,137,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,86.57 %,137,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,348,138,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,85.06 %,138,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,139,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,84.00 %,139,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,140,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,88.57 %,140,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,141,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,85.14 %,141,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,142,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,84.00 %,142,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,200,143,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
1,Votantes :,86.50 %,143,SEGUNDA VUELTA ELECTORAL 22/11/2015,642
0,Total Inscriptos :,350,144,SEGUNDA VUELTA ELECTORAL 22/11/2015,643
1,Votantes :,83.71 %,144,SEGUNDA VUELTA ELECTORAL 22/11/2015,643
0,Total Inscriptos :,350,145,SEGUNDA VUELTA ELECTORAL 22/11/2015,643
1,Votantes :,81.43 %,145,SEGUNDA VUELTA ELECTORAL 22/11/2015,643
0,Total Inscriptos :,350,146,SEGUNDA VUELTA ELECTORAL 22/11/2015,643
1,Votantes :,86.29 %,146,SEGUNDA VUELTA ELECTORAL 22/11/2015,643
0,Total Inscriptos :,350,147,SEGUNDA VUELTA ELECTORAL 22/11/2015,643
1,Votantes :,80.29 %,147,SEGUNDA VUELTA ELECTORAL 22/11/2015,643
0,Total Inscriptos :,218,148,SEGUNDA VUELTA ELECTORAL 22/11/2015,643
1,Votantes :,85.32 %,148,SEGUNDA VUELTA ELECTORAL 22/11/2015,643
0,Total Inscriptos :,350,149,SEGUNDA VUELTA ELECTORAL 22/11/2015,644
1,Votantes :,74.86 %,149,SEGUNDA VUELTA ELECTORAL 22/11/2015,644
0,Total Inscriptos :,350,150,SEGUNDA VUELTA ELECTORAL 22/11/2015,644
1,Votantes :,77.14 %,150,SEGUNDA VUELTA ELECTORAL 22/11/2015,644
0,Total Inscriptos :,258,151,SEGUNDA VUELTA ELECTORAL 22/11/2015,644
1,Votantes :,82.17 %,151,SEGUNDA VUELTA ELECTORAL 22/11/2015,644
0,Total Inscriptos :,238,152,SEGUNDA VUELTA ELECTORAL 22/11/2015,645
1,Votantes :,72.69 %,152,SEGUNDA VUELTA ELECTORAL 22/11/2015,645
0,Total Inscriptos :,192,153,SEGUNDA VUELTA ELECTORAL 22/11/2015,646
1,Votantes :,64.06 %,153,SEGUNDA VUELTA ELECTORAL 22/11/2015,646
0,Total Inscriptos :,192,154,SEGUNDA VUELTA ELECTORAL 22/11/2015,646
1,Votantes :,71.88 %,154,SEGUNDA VUELTA ELECTORAL 22/11/2015,646
0,Total Inscriptos :,174,155,SEGUNDA VUELTA ELECTORAL 22/11/2015,647
