,0,1,mesa,eleciones,circuito
1,Votantes :,84.00 %,93,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,94,ELECCIONES PASO 13/08/2017,640
1,Votantes :,77.71 %,94,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,95,ELECCIONES PASO 13/08/2017,640
1,Votantes :,79.43 %,95,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,96,ELECCIONES PASO 13/08/2017,640
1,Votantes :,80.86 %,96,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,351,97,ELECCIONES PASO 13/08/2017,640
1,Votantes :,77.21 %,97,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,351,98,ELECCIONES PASO 13/08/2017,640
1,Votantes :,73.79 %,98,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,351,99,ELECCIONES PASO 13/08/2017,640
1,Votantes :,80.06 %,99,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,100,ELECCIONES PASO 13/08/2017,640
1,Votantes :,83.71 %,100,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,101,ELECCIONES PASO 13/08/2017,640
1,Votantes :,76.57 %,101,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,102,ELECCIONES PASO 13/08/2017,640
1,Votantes :,76.29 %,102,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,103,ELECCIONES PASO 13/08/2017,640
1,Votantes :,75.71 %,103,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,351,104,ELECCIONES PASO 13/08/2017,640
1,Votantes :,78.63 %,104,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,105,ELECCIONES PASO 13/08/2017,640
1,Votantes :,79.71 %,105,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,106,ELECCIONES PASO 13/08/2017,640
1,Votantes :,82.00 %,106,ELECCIONES PASO 13/08/2017,640
