,NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,66,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,11.0,7,8,12.0,66,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,282.0,282,282,282.0,66,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,67,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,12.0,9,10,7.0,67,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,159.0,166,162,124.0,67,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,99.0,100,101,141.0,67,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,18.0,12,12,10.0,67,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,2.0,67,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,67,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,67,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,9.0,9,11,13.0,67,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,297.0,297,297,297.0,67,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,2,2,,68,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,4,5,4.0,68,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,148.0,153,150,119.0,68,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,103.0,107,106,139.0,68,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,11.0,9,9,10.0,68,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,2.0,2,2,4.0,68,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,2.0,68,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,68,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,20.0,13,16,12.0,68,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,290.0,290,290,290.0,68,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,3,5,,69,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,8.0,6,8,6.0,69,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,141.0,147,142,109.0,69,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,90.0,98,96,142.0,69,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,31.0,22,24,14.0,69,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,2.0,2,2,2.0,69,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,69,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,69,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,11.0,5,6,10.0,69,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,283.0,283,283,283.0,69,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,2,3,,70,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,7.0,6,6,5.0,70,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,133.0,140,138,112.0,70,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,102.0,103,103,133.0,70,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,24.0,18,19,14.0,70,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,2.0,70,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,70,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,70,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,8.0,5,5,8.0,70,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,274.0,274,274,274.0,70,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,0,0,,71,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,4,4,2.0,71,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,162.0,166,160,126.0,71,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,94.0,96,95,139.0,71,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,12.0,12,13,8.0,71,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,1.0,1,1,1.0,71,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,71,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,71,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,9.0,5,11,8.0,71,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,284.0,284,284,284.0,71,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,72,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,3.0,0,4,0.0,72,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,105.0,111,104,80.0,72,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,79.0,82,81,110.0,72,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,9.0,5,5,5.0,72,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,1.0,1,1,1.0,72,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,72,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,72,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,6.0,3,7,7.0,72,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,203.0,203,203,203.0,72,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,5,5,,73,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,3.0,3,3,1.0,73,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,82.0,83,80,53.0,73,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,149.0,147,149,195.0,73,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,23.0,21,21,19.0,73,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,1.0,1,1,1.0,73,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,73,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,73,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,32.0,30,31,21.0,73,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,290.0,290,290,290.0,73,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,7,6,,74,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,7,7,4.0,74,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,102.0,100,92,68.0,74,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,150.0,150,155,180.0,74,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,18.0,17,18,21.0,74,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,0.0,0,0,1.0,74,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,74,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,74,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,21.0,16,19,23.0,74,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,297.0,297,297,297.0,74,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,2,2,,75,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,5.0,3,5,3.0,75,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,93.0,98,90,66.0,75,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,150.0,151,153,184.0,75,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,12.0,12,11,8.0,75,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,1.0,1,1,1.0,75,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,1.0,1,1,1.0,75,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,75,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,20.0,14,19,19.0,75,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,282.0,282,282,282.0,75,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,3,5,,76,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,4.0,4,4,3.0,76,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,93.0,98,92,65.0,76,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,147.0,146,147,189.0,76,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,15.0,13,12,10.0,76,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,0.0,0,0,1.0,76,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,76,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,76,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,20.0,15,19,11.0,76,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,279.0,279,279,279.0,76,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,4,5,,77,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,4.0,4,4,3.0,77,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,107.0,110,105,76.0,77,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,151.0,151,149,184.0,77,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,7.0,6,6,7.0,77,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,0.0,1,0,1.0,77,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,77,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,1.0,1,1,1.0,77,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,18.0,11,18,16.0,77,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,288.0,288,288,288.0,77,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,0,0,,78,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,6,6,6.0,78,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,86.0,89,86,65.0,78,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,157.0,157,157,177.0,78,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,16.0,16,15,15.0,78,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,3.0,3,3,3.0,78,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,78,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,78,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,13.0,10,14,15.0,78,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,281.0,281,281,281.0,78,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,2,2,,79,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,4.0,4,4,3.0,79,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,97.0,102,96,64.0,79,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,139.0,142,142,181.0,79,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,28.0,22,24,21.0,79,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,2.0,2,2,3.0,79,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,1.0,1,1,1.0,79,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,79,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,17.0,13,17,15.0,79,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,288.0,288,288,288.0,79,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,5,5,,80,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,3.0,3,3,3.0,80,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,83.0,88,79,61.0,80,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,159.0,160,163,198.0,80,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,21.0,19,17,13.0,80,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,3.0,3,3,3.0,80,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,80,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,80,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,19.0,10,18,10.0,80,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,288.0,288,288,288.0,80,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,7,7,,81,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,6,6,2.0,81,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,106.0,111,101,62.0,81,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,146.0,144,145,197.0,81,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,12.0,11,14,12.0,81,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,2.0,2,2,2.0,81,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,81,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,81,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,20.0,11,17,17.0,81,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,292.0,292,292,292.0,81,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,6,6,,82,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,7.0,7,8,7.0,82,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,81.0,83,77,46.0,82,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,165.0,165,166,197.0,82,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,11.0,9,9,8.0,82,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,2.0,2,2,2.0,82,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,82,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,82,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,22.0,16,20,28.0,82,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,288.0,288,288,288.0,82,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,2,4,,83,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,8.0,7,6,3.0,83,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,92.0,95,92,73.0,83,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,150.0,150,152,176.0,83,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,11.0,10,9,9.0,83,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,2.0,2,2,2.0,83,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,83,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,83,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,19.0,16,17,19.0,83,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,282.0,282,282,282.0,83,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,8,8,,84,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,2.0,2,2,2.0,84,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,105.0,106,102,76.0,84,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,157.0,159,164,191.0,84,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,16.0,13,13,12.0,84,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,1.0,1,1,2.0,84,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,84,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,84,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,19.0,11,10,17.0,84,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,300.0,300,300,300.0,84,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,4,4,,85,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,5.0,5,5,2.0,85,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,84.0,87,82,55.0,85,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,156.0,157,158,187.0,85,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,16.0,14,13,12.0,85,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,0.0,0,0,0.0,85,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,85,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,85,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,22.0,16,21,27.0,85,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,283.0,283,283,283.0,85,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,5,5,,86,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,5.0,6,5,4.0,86,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,93.0,92,87,62.0,86,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,154.0,153,155,192.0,86,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,16.0,17,18,10.0,86,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,1.0,1,1,1.0,86,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,86,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,86,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,11.0,6,9,11.0,86,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,280.0,280,280,280.0,86,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,1,1,,87,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,5.0,5,5,5.0,87,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,111.0,114,109,72.0,87,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,125.0,125,125,168.0,87,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,14.0,13,15,12.0,87,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,5.0,5,5,5.0,87,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,87,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,87,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,14.0,11,14,12.0,87,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,274.0,274,274,274.0,87,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,3,3,,88,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,5,6,3.0,88,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,86.0,88,85,52.0,88,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,152.0,156,156,191.0,88,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,14.0,13,13,14.0,88,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,1.0,2,2,2.0,88,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,88,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,88,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
