,NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,8.0,5,7,10.0,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,285.0,285,285,285.0,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,4,3,,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,5,5,6.0,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,145.0,154,147,111.0,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,108.0,111,116,155.0,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,21.0,12,15,15.0,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,6.0,9,8,7.0,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,15.0,6,7,7.0,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,301.0,301,301,301.0,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,0,0,,19,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,0.0,0,0,0.0,19,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,145.0,153,145,119.0,19,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,96.0,96,99,130.0,19,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,14.0,16,16,9.0,19,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,2.0,2,2,2.0,19,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,19,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,19,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,17.0,7,12,14.0,19,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,274.0,274,274,274.0,19,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,4,4,,20,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
