,NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,5.0,,11,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,15.0,14.0,12.0,11,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,11.0,10.0,8.0,11,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,137.0,138.0,129.0,11,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,65.0,65.0,84.0,11,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,9.0,8.0,6.0,11,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,6.0,6.0,6.0,11,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,11,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,11,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,6.0,8.0,9.0,11,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,254.0,254.0,254.0,11,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,6.0,,,12,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,6.0,,12,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,16.0,16.0,14.0,12,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,19.0,17.0,14.0,12,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,121.0,118.0,107.0,12,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,92.0,92.0,115.0,12,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,10.0,9.0,9.0,12,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,2.0,2.0,12,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,12,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,12,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,4.0,10.0,9.0,12,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,270.0,270.0,270.0,12,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,4.0,,,13,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,4.0,,13,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,26.0,24.0,21.0,13,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,10.0,10.0,10.0,13,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,160.0,161.0,150.0,13,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,62.0,62.0,80.0,13,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,7.0,7.0,5.0,13,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,3.0,3.0,3.0,13,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,13,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,13,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,10.0,11.0,13.0,13,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,282.0,282.0,282.0,13,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,4.0,,,14,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,4.0,,14,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,17.0,17.0,15.0,14,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,12.0,12.0,11.0,14,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,151.0,152.0,146.0,14,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,74.0,74.0,83.0,14,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,7.0,6.0,6.0,14,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,14,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,14,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,14,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,10.0,10.0,14.0,14,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,275.0,275.0,275.0,14,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,4.0,,,15,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,4.0,,15,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,16.0,15.0,15.0,15,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,14.0,15.0,11.0,15,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,156.0,156.0,145.0,15,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,72.0,73.0,88.0,15,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,11.0,11.0,10.0,15,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,15,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,15,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,15,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,4.0,3.0,8.0,15,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,277.0,277.0,277.0,15,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,4.0,,,16,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,4.0,,16,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,16.0,16.0,16.0,16,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,9.0,6.0,7.0,16,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,163.0,161.0,150.0,16,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,62.0,66.0,80.0,16,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,10.0,6.0,7.0,16,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,16,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,1.0,0.0,1.0,16,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,16,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,2.0,8.0,6.0,16,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,267.0,267.0,267.0,16,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,4.0,,,17,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,4.0,,17,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,33.0,28.0,24.0,17,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,15.0,15.0,13.0,17,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,125.0,125.0,116.0,17,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,67.0,68.0,86.0,17,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,10.0,10.0,8.0,17,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,4.0,4.0,4.0,17,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,17,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,17,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,3.0,7.0,10.0,17,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,261.0,261.0,261.0,17,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,4.0,,,18,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,3.0,,18,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,22.0,23.0,18.0,18,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,15.0,15.0,15.0,18,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,142.0,141.0,128.0,18,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,77.0,76.0,94.0,18,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,5.0,5.0,4.0,18,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,7.0,7.0,7.0,18,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,18,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,18,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,5.0,7.0,11.0,18,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,277.0,277.0,277.0,18,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,2.0,,,19,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,2.0,,19,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,18.0,17.0,17.0,19,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,4.0,4.0,4.0,19,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,156.0,154.0,140.0,19,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,81.0,81.0,98.0,19,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,5.0,5.0,6.0,19,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,2.0,1.0,19,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,19,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,19,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,3.0,6.0,5.0,19,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,271.0,271.0,271.0,19,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,7.0,,,20,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,6.0,,20,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,21.0,18.0,18.0,20,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,8.0,8.0,5.0,20,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,142.0,144.0,136.0,20,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,90.0,90.0,103.0,20,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,10.0,10.0,9.0,20,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,3.0,3.0,3.0,20,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,20,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,20,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,2.0,4.0,9.0,20,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,283.0,283.0,283.0,20,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,3.0,,,21,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,3.0,,21,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,26.0,25.0,21.0,21,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,8.0,7.0,4.0,21,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,159.0,159.0,154.0,21,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,82.0,81.0,99.0,21,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,0.0,0.0,0.0,21,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,2.0,2.0,21,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,21,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,21,ELECCIONES GENERALES 14/11/2021,638
