,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
64,,VOTOS EN BLANCO,13.0,22.0,14.0,18.0,17.0,119,ELECCIONES PASO 11/08/2019,641
65,,TOTALES,270.0,270.0,270.0,270.0,270.0,119,ELECCIONES PASO 11/08/2019,641
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,120,ELECCIONES PASO 11/08/2019,641
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,1.0,,,,,120,ELECCIONES PASO 11/08/2019,641
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,1.0,,,,,120,ELECCIONES PASO 11/08/2019,641
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,120,ELECCIONES PASO 11/08/2019,641
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,1.0,1.0,1.0,,120,ELECCIONES PASO 11/08/2019,641
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,1.0,1.0,1.0,,120,ELECCIONES PASO 11/08/2019,641
6,36,PARTIDO AUTONOMISTA,,,,,,120,ELECCIONES PASO 11/08/2019,641
7,36,VALORES Y EXPERIENCIA,0.0,,,,,120,ELECCIONES PASO 11/08/2019,641
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,120,ELECCIONES PASO 11/08/2019,641
9,57,MOVIMIENTO ACCION VECINAL,,,,,,120,ELECCIONES PASO 11/08/2019,641
10,57,COMPROMISO VECINAL-A,0.0,,,,,120,ELECCIONES PASO 11/08/2019,641
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,120,ELECCIONES PASO 11/08/2019,641
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,120,ELECCIONES PASO 11/08/2019,641
13,79,SOMOS RENOVADORES,,0.0,,0.0,,120,ELECCIONES PASO 11/08/2019,641
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,0.0,,0.0,,120,ELECCIONES PASO 11/08/2019,641
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,120,ELECCIONES PASO 11/08/2019,641
16,87,LISTA A-DESPERTAR,4.0,,,,,120,ELECCIONES PASO 11/08/2019,641
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,4.0,,,,,120,ELECCIONES PASO 11/08/2019,641
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,120,ELECCIONES PASO 11/08/2019,641
19,88/816,LISTA 1A-POR LA VIDA,,0.0,0.0,0.0,0.0,120,ELECCIONES PASO 11/08/2019,641
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,0.0,0.0,0.0,0.0,120,ELECCIONES PASO 11/08/2019,641
21,131/1911,FRENTE NOS,,,,,,120,ELECCIONES PASO 11/08/2019,641
22,131/1911,LISTA A-CELESTE 2019,1.0,,,,,120,ELECCIONES PASO 11/08/2019,641
23,131/1911,LINEA UNICA,,,1.0,1.0,,120,ELECCIONES PASO 11/08/2019,641
24,,TOTAL FRENTE NOS,1.0,,1.0,1.0,,120,ELECCIONES PASO 11/08/2019,641
25,132,FRENTE PATRIOTA,,,,,,120,ELECCIONES PASO 11/08/2019,641
26,132/,LISTA A-CELESTE,0.0,,,,,120,ELECCIONES PASO 11/08/2019,641
27,312/,LISTA CELESTE,,0.0,,,,120,ELECCIONES PASO 11/08/2019,641
28,865,LISTA LEALTAD,,,0.0,0.0,,120,ELECCIONES PASO 11/08/2019,641
29,,TOTAL FRENTE PATRIOTA,0.0,0.0,0.0,0.0,,120,ELECCIONES PASO 11/08/2019,641
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,120,ELECCIONES PASO 11/08/2019,641
31,133,LISTA-UNIDAD,6.0,6.0,6.0,6.0,4.0,120,ELECCIONES PASO 11/08/2019,641
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,6.0,6.0,6.0,6.0,4.0,120,ELECCIONES PASO 11/08/2019,641
33,135,JUNTOS POR EL CAMBIO,,,,,,120,ELECCIONES PASO 11/08/2019,641
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,108.0,108.0,,,,120,ELECCIONES PASO 11/08/2019,641
35,135,LISTA 1A-AMARILLO,,,117.0,109.0,77.0,120,ELECCIONES PASO 11/08/2019,641
36,,TOTAL JUNTOS POR EL CAMBIO,108.0,108.0,117.0,109.0,77.0,120,ELECCIONES PASO 11/08/2019,641
37,136/503,FRENTE DE TODOS,,,,,,120,ELECCIONES PASO 11/08/2019,641
38,136/503,LISTA A CELESTE Y BLANCA,115.0,115.0,,,,120,ELECCIONES PASO 11/08/2019,641
39,136/503,LISTA CELESTE Y BLANCA-2,,,113.0,114.0,154.0,120,ELECCIONES PASO 11/08/2019,641
40,,TOTAL FRENTE DE TODOS,115.0,115.0,113.0,114.0,154.0,120,ELECCIONES PASO 11/08/2019,641
41,137,CONSENSO FEDERAL,,,,,,120,ELECCIONES PASO 11/08/2019,641
42,137,A-CONSENSO PARA EL FUTURO,23.0,18.0,,,,120,ELECCIONES PASO 11/08/2019,641
43,137,HAY CONSENSO,,,14.0,13.0,10.0,120,ELECCIONES PASO 11/08/2019,641
44,,TOTAL CONSENSO FEDERAL,23.0,18.0,14.0,13.0,10.0,120,ELECCIONES PASO 11/08/2019,641
45,207,PARTIDO HUMANISTA,,,,,,120,ELECCIONES PASO 11/08/2019,641
46,207,LISTA A-NARANJA,,0.0,,,,120,ELECCIONES PASO 11/08/2019,641
47,,TOTAL PARTIDO HUMANISTA,,0.0,,,,120,ELECCIONES PASO 11/08/2019,641
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,120,ELECCIONES PASO 11/08/2019,641
49,244,LISTA LEALTAD,,,,0.0,,120,ELECCIONES PASO 11/08/2019,641
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,120,ELECCIONES PASO 11/08/2019,641
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,120,ELECCIONES PASO 11/08/2019,641
52,309,LISTA COMPROMISO CIUDADANO,,0.0,,,,120,ELECCIONES PASO 11/08/2019,641
53,309,LISTA AZUL Y BLANCO,,,0.0,0.0,,120,ELECCIONES PASO 11/08/2019,641
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,0.0,0.0,0.0,,120,ELECCIONES PASO 11/08/2019,641
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,120,ELECCIONES PASO 11/08/2019,641
56,314,LISTA A CELESTE Y BLANCO,,0.0,,,,120,ELECCIONES PASO 11/08/2019,641
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,0.0,,,,120,ELECCIONES PASO 11/08/2019,641
58,315,MORAL Y PROGRESO,,,,,,120,ELECCIONES PASO 11/08/2019,641
59,315,LISTA ESPERANZA,,0.0,,,,120,ELECCIONES PASO 11/08/2019,641
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,120,ELECCIONES PASO 11/08/2019,641
61,,VOTOS NULOS,0.0,0.0,0.0,0.0,0.0,120,ELECCIONES PASO 11/08/2019,641
62,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,0.0,120,ELECCIONES PASO 11/08/2019,641
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,120,ELECCIONES PASO 11/08/2019,641
64,,VOTOS EN BLANCO,4.0,14.0,10.0,18.0,17.0,120,ELECCIONES PASO 11/08/2019,641
65,,TOTALES,262.0,262.0,262.0,262.0,262.0,120,ELECCIONES PASO 11/08/2019,641
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,121,ELECCIONES PASO 11/08/2019,641
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,2.0,,,,,121,ELECCIONES PASO 11/08/2019,641
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,2.0,,,,,121,ELECCIONES PASO 11/08/2019,641
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,121,ELECCIONES PASO 11/08/2019,641
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,2.0,2.0,2.0,,121,ELECCIONES PASO 11/08/2019,641
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,2.0,2.0,2.0,,121,ELECCIONES PASO 11/08/2019,641
6,36,PARTIDO AUTONOMISTA,,,,,,121,ELECCIONES PASO 11/08/2019,641
7,36,VALORES Y EXPERIENCIA,0.0,,,,,121,ELECCIONES PASO 11/08/2019,641
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,121,ELECCIONES PASO 11/08/2019,641
9,57,MOVIMIENTO ACCION VECINAL,,,,,,121,ELECCIONES PASO 11/08/2019,641
10,57,COMPROMISO VECINAL-A,0.0,,,,,121,ELECCIONES PASO 11/08/2019,641
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,121,ELECCIONES PASO 11/08/2019,641
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,121,ELECCIONES PASO 11/08/2019,641
13,79,SOMOS RENOVADORES,,0.0,,0.0,,121,ELECCIONES PASO 11/08/2019,641
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,0.0,,0.0,,121,ELECCIONES PASO 11/08/2019,641
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,121,ELECCIONES PASO 11/08/2019,641
16,87,LISTA A-DESPERTAR,5.0,,,,,121,ELECCIONES PASO 11/08/2019,641
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,5.0,,,,,121,ELECCIONES PASO 11/08/2019,641
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,121,ELECCIONES PASO 11/08/2019,641
19,88/816,LISTA 1A-POR LA VIDA,,2.0,2.0,2.0,2.0,121,ELECCIONES PASO 11/08/2019,641
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,2.0,2.0,2.0,2.0,121,ELECCIONES PASO 11/08/2019,641
21,131/1911,FRENTE NOS,,,,,,121,ELECCIONES PASO 11/08/2019,641
22,131/1911,LISTA A-CELESTE 2019,4.0,,,,,121,ELECCIONES PASO 11/08/2019,641
23,131/1911,LINEA UNICA,,,3.0,3.0,,121,ELECCIONES PASO 11/08/2019,641
24,,TOTAL FRENTE NOS,4.0,,3.0,3.0,,121,ELECCIONES PASO 11/08/2019,641
25,132,FRENTE PATRIOTA,,,,,,121,ELECCIONES PASO 11/08/2019,641
26,132/,LISTA A-CELESTE,0.0,,,,,121,ELECCIONES PASO 11/08/2019,641
27,312/,LISTA CELESTE,,0.0,,,,121,ELECCIONES PASO 11/08/2019,641
28,865,LISTA LEALTAD,,,0.0,0.0,,121,ELECCIONES PASO 11/08/2019,641
29,,TOTAL FRENTE PATRIOTA,0.0,0.0,0.0,0.0,,121,ELECCIONES PASO 11/08/2019,641
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,121,ELECCIONES PASO 11/08/2019,641
31,133,LISTA-UNIDAD,9.0,10.0,9.0,9.0,5.0,121,ELECCIONES PASO 11/08/2019,641
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,9.0,10.0,9.0,9.0,5.0,121,ELECCIONES PASO 11/08/2019,641
33,135,JUNTOS POR EL CAMBIO,,,,,,121,ELECCIONES PASO 11/08/2019,641
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,118.0,121.0,,,,121,ELECCIONES PASO 11/08/2019,641
35,135,LISTA 1A-AMARILLO,,,132.0,118.0,81.0,121,ELECCIONES PASO 11/08/2019,641
36,,TOTAL JUNTOS POR EL CAMBIO,118.0,121.0,132.0,118.0,81.0,121,ELECCIONES PASO 11/08/2019,641
37,136/503,FRENTE DE TODOS,,,,,,121,ELECCIONES PASO 11/08/2019,641
38,136/503,LISTA A CELESTE Y BLANCA,111.0,107.0,,,,121,ELECCIONES PASO 11/08/2019,641
39,136/503,LISTA CELESTE Y BLANCA-2,,,110.0,110.0,161.0,121,ELECCIONES PASO 11/08/2019,641
40,,TOTAL FRENTE DE TODOS,111.0,107.0,110.0,110.0,161.0,121,ELECCIONES PASO 11/08/2019,641
41,137,CONSENSO FEDERAL,,,,,,121,ELECCIONES PASO 11/08/2019,641
42,137,A-CONSENSO PARA EL FUTURO,17.0,15.0,,,,121,ELECCIONES PASO 11/08/2019,641
43,137,HAY CONSENSO,,,9.0,10.0,11.0,121,ELECCIONES PASO 11/08/2019,641
44,,TOTAL CONSENSO FEDERAL,17.0,15.0,9.0,10.0,11.0,121,ELECCIONES PASO 11/08/2019,641
45,207,PARTIDO HUMANISTA,,,,,,121,ELECCIONES PASO 11/08/2019,641
46,207,LISTA A-NARANJA,,1.0,,,,121,ELECCIONES PASO 11/08/2019,641
47,,TOTAL PARTIDO HUMANISTA,,1.0,,,,121,ELECCIONES PASO 11/08/2019,641
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,121,ELECCIONES PASO 11/08/2019,641
49,244,LISTA LEALTAD,,,,0.0,,121,ELECCIONES PASO 11/08/2019,641
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,121,ELECCIONES PASO 11/08/2019,641
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,121,ELECCIONES PASO 11/08/2019,641
52,309,LISTA COMPROMISO CIUDADANO,,1.0,,,,121,ELECCIONES PASO 11/08/2019,641
53,309,LISTA AZUL Y BLANCO,,,1.0,1.0,,121,ELECCIONES PASO 11/08/2019,641
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,1.0,1.0,1.0,,121,ELECCIONES PASO 11/08/2019,641
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,121,ELECCIONES PASO 11/08/2019,641
56,314,LISTA A CELESTE Y BLANCO,,0.0,,,,121,ELECCIONES PASO 11/08/2019,641
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,0.0,,,,121,ELECCIONES PASO 11/08/2019,641
58,315,MORAL Y PROGRESO,,,,,,121,ELECCIONES PASO 11/08/2019,641
59,315,LISTA ESPERANZA,,0.0,,,,121,ELECCIONES PASO 11/08/2019,641
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,121,ELECCIONES PASO 11/08/2019,641
61,,VOTOS NULOS,0.0,0.0,0.0,0.0,0.0,121,ELECCIONES PASO 11/08/2019,641
62,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,0.0,121,ELECCIONES PASO 11/08/2019,641
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,121,ELECCIONES PASO 11/08/2019,641
64,,VOTOS EN BLANCO,11.0,18.0,9.0,22.0,17.0,121,ELECCIONES PASO 11/08/2019,641
65,,TOTALES,277.0,277.0,277.0,277.0,277.0,121,ELECCIONES PASO 11/08/2019,641
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,122,ELECCIONES PASO 11/08/2019,641
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,2.0,,,,,122,ELECCIONES PASO 11/08/2019,641
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,2.0,,,,,122,ELECCIONES PASO 11/08/2019,641
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,122,ELECCIONES PASO 11/08/2019,641
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,2.0,2.0,2.0,,122,ELECCIONES PASO 11/08/2019,641
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,2.0,2.0,2.0,,122,ELECCIONES PASO 11/08/2019,641
6,36,PARTIDO AUTONOMISTA,,,,,,122,ELECCIONES PASO 11/08/2019,641
7,36,VALORES Y EXPERIENCIA,0.0,,,,,122,ELECCIONES PASO 11/08/2019,641
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,122,ELECCIONES PASO 11/08/2019,641
9,57,MOVIMIENTO ACCION VECINAL,,,,,,122,ELECCIONES PASO 11/08/2019,641
10,57,COMPROMISO VECINAL-A,0.0,,,,,122,ELECCIONES PASO 11/08/2019,641
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,122,ELECCIONES PASO 11/08/2019,641
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,122,ELECCIONES PASO 11/08/2019,641
13,79,SOMOS RENOVADORES,,0.0,,0.0,,122,ELECCIONES PASO 11/08/2019,641
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,0.0,,0.0,,122,ELECCIONES PASO 11/08/2019,641
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,122,ELECCIONES PASO 11/08/2019,641
16,87,LISTA A-DESPERTAR,8.0,,,,,122,ELECCIONES PASO 11/08/2019,641
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,8.0,,,,,122,ELECCIONES PASO 11/08/2019,641
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,122,ELECCIONES PASO 11/08/2019,641
19,88/816,LISTA 1A-POR LA VIDA,,1.0,1.0,1.0,1.0,122,ELECCIONES PASO 11/08/2019,641
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,1.0,1.0,1.0,1.0,122,ELECCIONES PASO 11/08/2019,641
21,131/1911,FRENTE NOS,,,,,,122,ELECCIONES PASO 11/08/2019,641
22,131/1911,LISTA A-CELESTE 2019,6.0,,,,,122,ELECCIONES PASO 11/08/2019,641
23,131/1911,LINEA UNICA,,,6.0,7.0,,122,ELECCIONES PASO 11/08/2019,641
24,,TOTAL FRENTE NOS,6.0,,6.0,7.0,,122,ELECCIONES PASO 11/08/2019,641
25,132,FRENTE PATRIOTA,,,,,,122,ELECCIONES PASO 11/08/2019,641
26,132/,LISTA A-CELESTE,0.0,,,,,122,ELECCIONES PASO 11/08/2019,641
27,312/,LISTA CELESTE,,0.0,,,,122,ELECCIONES PASO 11/08/2019,641
28,865,LISTA LEALTAD,,,0.0,0.0,,122,ELECCIONES PASO 11/08/2019,641
29,,TOTAL FRENTE PATRIOTA,0.0,0.0,0.0,0.0,,122,ELECCIONES PASO 11/08/2019,641
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,122,ELECCIONES PASO 11/08/2019,641
31,133,LISTA-UNIDAD,8.0,6.0,6.0,6.0,4.0,122,ELECCIONES PASO 11/08/2019,641
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,8.0,6.0,6.0,6.0,4.0,122,ELECCIONES PASO 11/08/2019,641
33,135,JUNTOS POR EL CAMBIO,,,,,,122,ELECCIONES PASO 11/08/2019,641
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,121.0,123.0,,,,122,ELECCIONES PASO 11/08/2019,641
35,135,LISTA 1A-AMARILLO,,,126.0,118.0,93.0,122,ELECCIONES PASO 11/08/2019,641
36,,TOTAL JUNTOS POR EL CAMBIO,121.0,123.0,126.0,118.0,93.0,122,ELECCIONES PASO 11/08/2019,641
37,136/503,FRENTE DE TODOS,,,,,,122,ELECCIONES PASO 11/08/2019,641
38,136/503,LISTA A CELESTE Y BLANCA,101.0,100.0,,,,122,ELECCIONES PASO 11/08/2019,641
39,136/503,LISTA CELESTE Y BLANCA-2,,,103.0,103.0,148.0,122,ELECCIONES PASO 11/08/2019,641
40,,TOTAL FRENTE DE TODOS,101.0,100.0,103.0,103.0,148.0,122,ELECCIONES PASO 11/08/2019,641
41,137,CONSENSO FEDERAL,,,,,,122,ELECCIONES PASO 11/08/2019,641
42,137,A-CONSENSO PARA EL FUTURO,23.0,21.0,,,,122,ELECCIONES PASO 11/08/2019,641
43,137,HAY CONSENSO,,,17.0,15.0,8.0,122,ELECCIONES PASO 11/08/2019,641
44,,TOTAL CONSENSO FEDERAL,23.0,21.0,17.0,15.0,8.0,122,ELECCIONES PASO 11/08/2019,641
45,207,PARTIDO HUMANISTA,,,,,,122,ELECCIONES PASO 11/08/2019,641
46,207,LISTA A-NARANJA,,0.0,,,,122,ELECCIONES PASO 11/08/2019,641
47,,TOTAL PARTIDO HUMANISTA,,0.0,,,,122,ELECCIONES PASO 11/08/2019,641
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,122,ELECCIONES PASO 11/08/2019,641
49,244,LISTA LEALTAD,,,,0.0,,122,ELECCIONES PASO 11/08/2019,641
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,122,ELECCIONES PASO 11/08/2019,641
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,122,ELECCIONES PASO 11/08/2019,641
52,309,LISTA COMPROMISO CIUDADANO,,0.0,,,,122,ELECCIONES PASO 11/08/2019,641
53,309,LISTA AZUL Y BLANCO,,,0.0,0.0,,122,ELECCIONES PASO 11/08/2019,641
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,0.0,0.0,0.0,,122,ELECCIONES PASO 11/08/2019,641
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,122,ELECCIONES PASO 11/08/2019,641
56,314,LISTA A CELESTE Y BLANCO,,0.0,,,,122,ELECCIONES PASO 11/08/2019,641
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,0.0,,,,122,ELECCIONES PASO 11/08/2019,641
58,315,MORAL Y PROGRESO,,,,,,122,ELECCIONES PASO 11/08/2019,641
59,315,LISTA ESPERANZA,,0.0,,,,122,ELECCIONES PASO 11/08/2019,641
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,122,ELECCIONES PASO 11/08/2019,641
61,,VOTOS NULOS,0.0,0.0,0.0,0.0,0.0,122,ELECCIONES PASO 11/08/2019,641
62,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,0.0,122,ELECCIONES PASO 11/08/2019,641
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,122,ELECCIONES PASO 11/08/2019,641
64,,VOTOS EN BLANCO,10.0,26.0,18.0,27.0,25.0,122,ELECCIONES PASO 11/08/2019,641
65,,TOTALES,279.0,279.0,279.0,279.0,279.0,122,ELECCIONES PASO 11/08/2019,641
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,123,ELECCIONES PASO 11/08/2019,641
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,1.0,,,,,123,ELECCIONES PASO 11/08/2019,641
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,1.0,,,,,123,ELECCIONES PASO 11/08/2019,641
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,123,ELECCIONES PASO 11/08/2019,641
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,0.0,1.0,0.0,,123,ELECCIONES PASO 11/08/2019,641
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,0.0,1.0,0.0,,123,ELECCIONES PASO 11/08/2019,641
6,36,PARTIDO AUTONOMISTA,,,,,,123,ELECCIONES PASO 11/08/2019,641
7,36,VALORES Y EXPERIENCIA,0.0,,,,,123,ELECCIONES PASO 11/08/2019,641
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,123,ELECCIONES PASO 11/08/2019,641
9,57,MOVIMIENTO ACCION VECINAL,,,,,,123,ELECCIONES PASO 11/08/2019,641
10,57,COMPROMISO VECINAL-A,0.0,,,,,123,ELECCIONES PASO 11/08/2019,641
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,123,ELECCIONES PASO 11/08/2019,641
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,123,ELECCIONES PASO 11/08/2019,641
13,79,SOMOS RENOVADORES,,1.0,,1.0,,123,ELECCIONES PASO 11/08/2019,641
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,1.0,,1.0,,123,ELECCIONES PASO 11/08/2019,641
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,123,ELECCIONES PASO 11/08/2019,641
16,87,LISTA A-DESPERTAR,4.0,,,,,123,ELECCIONES PASO 11/08/2019,641
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,4.0,,,,,123,ELECCIONES PASO 11/08/2019,641
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,123,ELECCIONES PASO 11/08/2019,641
19,88/816,LISTA 1A-POR LA VIDA,,0.0,0.0,0.0,0.0,123,ELECCIONES PASO 11/08/2019,641
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,0.0,0.0,0.0,0.0,123,ELECCIONES PASO 11/08/2019,641
21,131/1911,FRENTE NOS,,,,,,123,ELECCIONES PASO 11/08/2019,641
22,131/1911,LISTA A-CELESTE 2019,3.0,,,,,123,ELECCIONES PASO 11/08/2019,641
23,131/1911,LINEA UNICA,,,3.0,4.0,,123,ELECCIONES PASO 11/08/2019,641
24,,TOTAL FRENTE NOS,3.0,,3.0,4.0,,123,ELECCIONES PASO 11/08/2019,641
25,132,FRENTE PATRIOTA,,,,,,123,ELECCIONES PASO 11/08/2019,641
26,132/,LISTA A-CELESTE,0.0,,,,,123,ELECCIONES PASO 11/08/2019,641
27,312/,LISTA CELESTE,,0.0,,,,123,ELECCIONES PASO 11/08/2019,641
28,865,LISTA LEALTAD,,,0.0,0.0,,123,ELECCIONES PASO 11/08/2019,641
29,,TOTAL FRENTE PATRIOTA,0.0,0.0,0.0,0.0,,123,ELECCIONES PASO 11/08/2019,641
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,123,ELECCIONES PASO 11/08/2019,641
31,133,LISTA-UNIDAD,9.0,7.0,6.0,6.0,5.0,123,ELECCIONES PASO 11/08/2019,641
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,9.0,7.0,6.0,6.0,5.0,123,ELECCIONES PASO 11/08/2019,641
33,135,JUNTOS POR EL CAMBIO,,,,,,123,ELECCIONES PASO 11/08/2019,641
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,73.0,79.0,,,,123,ELECCIONES PASO 11/08/2019,641
35,135,LISTA 1A-AMARILLO,,,81.0,77.0,68.0,123,ELECCIONES PASO 11/08/2019,641
36,,TOTAL JUNTOS POR EL CAMBIO,73.0,79.0,81.0,77.0,68.0,123,ELECCIONES PASO 11/08/2019,641
37,136/503,FRENTE DE TODOS,,,,,,123,ELECCIONES PASO 11/08/2019,641
38,136/503,LISTA A CELESTE Y BLANCA,128.0,126.0,,,,123,ELECCIONES PASO 11/08/2019,641
39,136/503,LISTA CELESTE Y BLANCA-2,,,128.0,126.0,166.0,123,ELECCIONES PASO 11/08/2019,641
40,,TOTAL FRENTE DE TODOS,128.0,126.0,128.0,126.0,166.0,123,ELECCIONES PASO 11/08/2019,641
41,137,CONSENSO FEDERAL,,,,,,123,ELECCIONES PASO 11/08/2019,641
42,137,A-CONSENSO PARA EL FUTURO,23.0,18.0,,,,123,ELECCIONES PASO 11/08/2019,641
43,137,HAY CONSENSO,,,15.0,17.0,16.0,123,ELECCIONES PASO 11/08/2019,641
44,,TOTAL CONSENSO FEDERAL,23.0,18.0,15.0,17.0,16.0,123,ELECCIONES PASO 11/08/2019,641
45,207,PARTIDO HUMANISTA,,,,,,123,ELECCIONES PASO 11/08/2019,641
46,207,LISTA A-NARANJA,,1.0,,,,123,ELECCIONES PASO 11/08/2019,641
47,,TOTAL PARTIDO HUMANISTA,,1.0,,,,123,ELECCIONES PASO 11/08/2019,641
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,123,ELECCIONES PASO 11/08/2019,641
49,244,LISTA LEALTAD,,,,0.0,,123,ELECCIONES PASO 11/08/2019,641
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,123,ELECCIONES PASO 11/08/2019,641
