,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,PARLAMENTARIO MERCOSUR (DN),mesa,eleciones,circuito
2,133.0,ALIANZA COMPROMISO FEDERAL,4,2,13,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,141,136,13,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,13,13,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,40,36,13,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,10,19,13,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,4,4,13,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,13,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,13,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,291,291,13,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,65,66,14,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,7,6,14,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,14,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,146,141,14,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,13,14,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,66,59,14,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,4,16,14,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,2,0,14,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,14,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,14,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,302,302,14,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,96,94,15,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,6,6,15,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,0,1,15,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,113,107,15,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,9,10,15,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,60,51,15,ELECCIONES GENERALES 25/10/2015,638
