,NRO,NRO.1,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,10.0,10.0,9.0,8,85,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,85,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,0.0,0.0,0.0,0,85,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,85,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,85,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,5.0,5.0,5.0,5,85,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,273.0,273.0,273.0,273,85,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,34.0,33.0,33.0,34,86,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,89.0,88.0,87.0,87,86,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,112.0,113.0,113.0,115,86,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,16.0,15.0,15.0,16,86,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,8.0,7.0,8,86,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,86,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,5.0,5.0,5.0,5,86,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,86,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,86,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,9.0,10.0,12.0,5,86,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,272.0,272.0,272.0,272,86,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,28.0,25.0,25.0,24,87,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,112.0,111.0,111.0,115,87,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,101.0,101.0,101.0,98,87,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,20.0,19.0,19.0,17,87,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,10.0,10.0,11,87,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,87,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,2.0,2.0,2.0,2,87,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,1.0,1.0,1.0,1,87,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,87,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,3.0,7.0,7.0,6,87,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,276.0,276.0,276.0,276,87,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,30.0,28.0,27.0,24,88,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,112.0,111.0,112.0,113,88,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,88.0,89.0,91.0,95,88,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,20.0,19.0,19.0,15,88,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,11.0,11.0,12,88,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,88,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,1.0,1.0,1.0,1,88,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,88,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,88,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,8.0,11.0,9.0,6,88,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,270.0,270.0,270.0,270,88,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,31.0,33.0,33.0,28,89,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,97.0,95.0,91.0,94,89,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,121.0,120.0,121.0,120,89,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,17.0,17.0,18,89,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,13.0,13.0,11.0,13,89,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,5,89,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,2.0,2.0,3.0,2,89,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,89,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,89,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,4.0,5.0,9.0,5,89,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,285.0,285.0,285.0,285,89,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,25.0,25.0,24.0,21,90,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,65.0,65.0,65.0,68,90,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,151.0,150.0,150.0,149,90,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,19.0,16.0,17.0,12,90,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,12.0,12.0,11,90,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,7,90,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,0.0,1.0,1.0,1,90,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,90,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,90,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,4.0,7.0,7.0,7,90,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,276.0,276.0,276.0,276,90,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,31.0,30.0,31.0,26,91,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,88.0,86.0,87.0,92,91,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,118.0,122.0,122.0,124,91,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,16.0,14.0,13,91,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,15.0,17.0,16.0,14,91,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,6,91,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,1.0,1.0,1.0,1,91,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,1.0,1.0,1.0,1,91,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,91,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,6.0,4.0,5.0,0,91,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,277.0,277.0,277.0,277,91,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,24.0,23.0,23.0,22,92,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,88.0,87.0,87.0,89,92,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,155.0,154.0,154.0,147,92,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,10.0,10.0,10.0,12,92,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,11.0,11.0,10,92,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,11,92,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,2.0,2.0,2.0,3,92,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,1.0,1.0,1.0,1,92,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,92,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,8.0,11.0,11.0,4,92,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,299.0,299.0,299.0,299,92,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,37.0,33.0,33.0,31,93,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,96.0,96.0,95.0,97,93,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,135.0,139.0,138.0,134,93,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,15.0,14.0,14.0,15,93,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,13.0,13.0,15,93,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,93,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,0.0,0.0,0.0,0,93,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,93,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,93,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,7.0,7.0,9.0,6,93,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,302.0,302.0,302.0,302,93,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,33.0,34.0,34.0,32,94,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,87.0,85.0,85.0,91,94,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,132.0,131.0,130.0,125,94,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,9.0,8.0,8.0,8,94,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,8.0,8.0,8.0,11,94,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,5,94,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,0.0,0.0,0.0,0,94,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,94,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,94,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,11.0,14.0,15.0,8,94,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,280.0,280.0,280.0,280,94,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,25.0,27.0,26.0,19,95,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,85.0,81.0,81.0,83,95,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,162.0,162.0,165.0,166,95,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,13.0,9.0,9.0,8,95,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,5.0,8.0,8.0,5,95,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,95,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,4.0,3.0,3.0,3,95,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,95,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,95,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,1.0,5.0,3.0,7,95,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,295.0,295.0,295.0,295,95,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,31.0,30.0,28.0,27,96,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,81.0,80.0,81.0,78,96,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,149.0,148.0,149.0,145,96,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,11.0,11.0,11.0,11,96,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,6.0,6.0,6.0,8,96,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,6,96,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,0.0,0.0,0.0,0,96,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,96,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,96,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,4.0,7.0,7.0,7,96,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,282.0,282.0,282.0,282,96,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,24.0,25.0,26.0,24,97,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,93.0,89.0,88.0,90,97,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,134.0,134.0,133.0,128,97,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,19.0,18.0,16.0,15,97,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,2.0,3.0,4.0,3,97,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,97,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,2.0,1.0,1.0,5,97,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,97,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,97,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,6.0,10.0,12.0,11,97,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,280.0,280.0,280.0,280,97,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,34.0,33.0,32.0,31,98,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,73.0,76.0,75.0,75,98,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,139.0,141.0,140.0,138,98,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,14.0,14.0,14,98,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,9.0,10.0,9,98,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,98,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,1.0,1.0,1.0,2,98,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,98,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,98,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,5.0,4.0,6.0,5,98,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,278.0,278.0,278.0,278,98,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,35.0,35.0,31.0,29,99,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,92.0,92.0,95.0,95,99,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,128.0,127.0,127.0,130,99,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,17.0,15.0,16,99,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,7.0,6.0,6,99,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,99,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,0.0,0.0,0.0,0,99,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,99,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,99,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,6.0,7.0,11.0,5,99,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,285.0,285.0,285.0,285,99,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,32.0,27.0,26.0,25,100,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,69.0,70.0,69.0,75,100,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,154.0,155.0,154.0,148,100,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,14.0,13.0,14.0,16,100,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,10.0,11.0,12.0,11,100,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,7,100,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,0.0,0.0,0.0,0,100,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,100,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,100,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,9.0,12.0,13.0,6,100,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,288.0,288.0,288.0,288,100,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,26.0,22.0,22.0,20,101,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,96.0,96.0,96.0,101,101,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,121.0,121.0,121.0,122,101,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,10.0,9.0,9.0,7,101,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,16.0,18.0,18.0,14,101,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,8,101,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,3.0,3.0,3.0,3,101,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,101,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,101,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,9.0,12.0,12.0,6,101,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,281.0,281.0,281.0,281,101,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,27.0,26.0,25.0,24,102,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,95.0,94.0,95.0,94,102,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,127.0,127.0,126.0,118,102,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,22.0,21.0,21.0,24,102,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,2.0,3.0,3.0,3,102,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,9,102,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,1.0,0.0,2.0,2,102,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,1.0,1.0,1.0,1,102,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,102,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,4.0,7.0,6.0,4,102,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,279.0,279.0,279.0,279,102,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,30.0,26.0,26.0,26,103,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,79.0,75.0,76.0,81,103,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,140.0,141.0,141.0,148,103,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,10.0,7.0,6.0,7,103,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,15.0,15.0,15,103,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,103,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,0.0,0.0,0.0,0,103,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,103,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,103,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,10.0,17.0,17.0,0,103,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,281.0,281.0,281.0,281,103,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,29.0,27.0,28.0,23,104,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,79.0,80.0,80.0,83,104,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,127.0,129.0,128.0,124,104,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,15.0,13.0,12.0,10,104,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,17.0,17.0,17.0,15,104,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,9,104,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,0.0,0.0,0.0,0,104,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,104,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,104,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,5.0,6.0,7.0,8,104,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,272.0,272.0,272.0,272,104,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,35.0,33.0,35.0,31,105,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,101.0,99.0,98.0,101,105,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,129.0,130.0,129.0,123,105,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,12.0,12.0,11.0,12,105,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,11.0,10.0,10,105,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,7,105,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,3.0,3.0,3.0,7,105,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,105,ELECCIONES GENERALES 22/10/2017,640
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,105,ELECCIONES GENERALES 22/10/2017,640
9,,,VOTOS EN BLANCO,6.0,9.0,11.0,6,105,ELECCIONES GENERALES 22/10/2017,640
10,,,TOTALES,297.0,297.0,297.0,297,105,ELECCIONES GENERALES 22/10/2017,640
0,501.0,,1PAIS,26.0,23.0,23.0,26,106,ELECCIONES GENERALES 22/10/2017,640
1,503.0,,UNIDAD CIUDADANA,85.0,85.0,84.0,82,106,ELECCIONES GENERALES 22/10/2017,640
2,508.0,,CAMBIEMOS BUENOS AIRES,146.0,147.0,147.0,142,106,ELECCIONES GENERALES 22/10/2017,640
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,19.0,16.0,16.0,14,106,ELECCIONES GENERALES 22/10/2017,640
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,11.0,10.0,8,106,ELECCIONES GENERALES 22/10/2017,640
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,10,106,ELECCIONES GENERALES 22/10/2017,640
6,,,VOTOS NULOS,0.0,0.0,0.0,1,106,ELECCIONES GENERALES 22/10/2017,640
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,106,ELECCIONES GENERALES 22/10/2017,640
