,NRO,NRO.1,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
2,508.0,,CAMBIEMOS BUENOS AIRES,172.0,176.0,175.0,176,13,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,12.0,12.0,14,13,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,16.0,17.0,18.0,15,13,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,13,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,13,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,13,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,13,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,5.0,6.0,8,13,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,284.0,284.0,284.0,284,13,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,27.0,29.0,27.0,21,14,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,53.0,52.0,52.0,57,14,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,174.0,172.0,173.0,174,14,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,7.0,6.0,6.0,9,14,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,17.0,17.0,16.0,14,14,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,5,14,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,14,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,14,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,14,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,6.0,8.0,10.0,4,14,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,284.0,284.0,284.0,284,14,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,23.0,23.0,23.0,19,15,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,68.0,69.0,69.0,74,15,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,165.0,165.0,165.0,164,15,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,13.0,11.0,11.0,10,15,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,7.0,7.0,8,15,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,15,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,2,15,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,15,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,15,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,2.0,5.0,5.0,2,15,ELECCIONES GENERALES 22/10/2017,638
